week,weekorder,date,ReportingLaboratory,test_sarscov2,pos_sarscov2,test_flu,pos_flu,pos_flua_h1,pos_flua_h3,pos_flua_uns,pos_flua,pos_flub,test_rsv,pos_rsv,test_hpiv,pos_hpiv_1,pos_hpiv_2,pos_hpiv_3,pos_hpiv_4,pos_hpiv_other,test_adv,pos_adv,test_hmpv,pos_hmpv,test_evrv,pos_evrv,test_hcov,pos_hcov
36,2,2024-09-07,PHOL - London,197.0,80.0,181.0,1.0,0.0,1.0,0.0,1.0,0.0,181.0,0.0,151.0,0.0,0.0,0.0,0.0,4.0,151.0,0.0,151.0,0.0,151.0,6.0,151.0,1.0
36,2,2024-09-07,St. Joseph's - London,549.0,80.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,49.0,0.0,49.0,3.0,49.0,0.0
36,2,2024-09-07,PHOL - Orillia,5.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0
36,2,2024-09-07,PHOL - Sudbury,9.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,1.0
36,2,2024-09-07,PHOL - Timmins,22.0,4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,17.0,0.0,17.0,1.0,17.0,0.0
36,2,2024-09-07,PHOL - Sault Ste. Marie,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0
36,2,2024-09-07,Sault Area Hospital,62.0,3.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,53.0,0.0,53.0,5.0,53.0,0.0
36,2,2024-09-07,PHOL - Thunder Bay,31.0,10.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,31.0,0.0,0.0,0.0,0.0,5.0,31.0,0.0,31.0,0.0,31.0,0.0,31.0,0.0
36,2,2024-09-07,Ontario,5813.0,956.0,4929.0,9.0,3.0,4.0,5.0,9.0,0.0,4932.0,13.0,3532.0,1.0,3.0,12.0,1.0,51.0,3531.0,15.0,3556.0,9.0,3557.0,225.0,2298.0,9.0
36,2,2024-09-07,Manitoba,1136.0,215.0,414.0,1.0,0.0,0.0,1.0,1.0,0.0,414.0,0.0,78.0,3.0,0.0,1.0,2.0,0.0,78.0,2.0,97.0,0.0,78.0,25.0,97.0,0.0
36,2,2024-09-07,Saskatchewan,1312.0,168.0,828.0,7.0,0.0,0.0,5.0,5.0,2.0,759.0,1.0,322.0,1.0,1.0,0.0,1.0,0.0,322.0,3.0,322.0,0.0,322.0,60.0,322.0,2.0
36,2,2024-09-07,Alberta,3290.0,393.0,1021.0,5.0,4.0,1.0,0.0,5.0,0.0,898.0,1.0,898.0,2.0,3.0,3.0,0.0,0.0,896.0,7.0,845.0,0.0,887.0,100.0,898.0,2.0
36,2,2024-09-07,Prairies,5738.0,776.0,2263.0,13.0,4.0,1.0,6.0,11.0,2.0,2071.0,2.0,1298.0,6.0,4.0,4.0,3.0,0.0,1296.0,12.0,1264.0,0.0,1287.0,185.0,1317.0,4.0
36,2,2024-09-07,British Columbia,2807.0,535.0,2683.0,41.0,16.0,6.0,3.0,41.0,0.0,2709.0,2.0,715.0,1.0,1.0,3.0,7.0,0.0,715.0,9.0,715.0,4.0,712.0,86.0,712.0,0.0
36,2,2024-09-07,Yukon,33.0,6.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,,,,,,,,,,,,,,
36,2,2024-09-07,Northwest Territories,42.0,10.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,,,,,,,42.0,0.0,42.0,0.0,42.0,16.0,,
36,2,2024-09-07,Nunavut,91.0,5.0,80.0,1.0,0.0,1.0,0.0,1.0,0.0,80.0,0.0,,,,,,,,,,,,,,
